district,lat,lon
24 PARAGANAS NORTH,22.737494274710983,88.6200297764451
24 PARAGANAS SOUTH,22.229127566623546,88.38265416080206
ADILABAD,19.507771788636365,78.55757651969698
AGAR MALWA,23.97558441470588,76.538276275
AGRA,27.02867851238938,78.0499264778761
AHMADABAD,22.956002204377338,72.4080722858201
AHMEDNAGAR,19.27110039528985,74.63136217774408
AIZAWL,23.53126140578125,92.70805223875
AJMER,26.2047227035,74.8638115245
AKOLA,20.763444774688796,77.05181362863071
ALAPPUZHA,9.404304290459365,76.44868925406361
ALIGARH,27.331198477657892,78.22580259642105
ALIPURDUAR,26.549938333584905,89.25510709264151
ALIRAJPUR,22.201364347058824,74.31884775147059
ALLURI SITHARAMA RAJU,17.743090133333336,82.13791722790698
ALMORA,29.670158493723076,79.54763534166153
ALWAR,27.510668904320987,76.63584276152264
AMBALA,30.233374327659572,76.90070875340426
AMBEDKAR NAGAR,26.41948591676829,82.6059738
AMETHI,26.19960518197425,81.64880039012876
AMRAVATI,21.153251954293637,77.63506699911612
AMRELI,21.45140820349854,71.31097362507288
AMRITSAR,31.66787878237288,74.94053960915255
AMROHA,28.877306193137255,78.42286745882353
ANAKAPALLI,17.71450385162455,82.86519241191336
ANAND,22.44483146760691,72.83699471586148
ANANTAPUR,14.861498549639066,77.17735412721869
ANANTNAG,33.78167574561403,74.93800698245613
ANJAW,27.887840364150943,96.53313826792453
ANNAMAYYA,13.747478463378378,78.40472663972973
ANUGUL,20.971137597328244,84.97247115519083
ANUPPUR,23.193165591538463,81.55422513846155
ARARIA,26.04827730310559,87.09992841614907
ARIYALUR,11.168549391818182,79.22625686363637
ARVALLI,23.49055629483568,73.31757389342722
ARWAL,24.807174489361703,83.99819326595745
ASHOKNAGAR,24.617405530831405,77.80629987798741
AURAIYA,26.648151813924052,79.48210147468355
AURANGABAD,20.517003915873016,76.44435989126984
AYODHYA,26.652667033060112,82.0399606
AZAMGARH,20.49053706806084,80.22620646159696
BAGALKOT,16.20899505106383,75.62058195927051
BAGESHWAR,29.852194333112582,79.77092750529802
BAGHPAT,29.06359790923077,77.3174469423077
BAHRAICH,27.640137532081912,81.5144335894198
BAJALI,26.433571972,91.184573988
BAKSA,26.36140846230769,91.3585862153846
BALAGHAT,21.82832814,80.250441515
BALANGIR,20.589067649683546,83.22814938101266
BALESHWAR,21.501444991382765,86.98278916352706
BALLARI,15.284139020895523,76.81783197512438
BALLIA,25.85042354659091,84.07460754943182
BALOD,20.87252586257143,81.42800077614285
BALODA BAZAR,21.41955707017544,81.55251580935673
BALRAMPUR,25.755749534382716,82.80518788839507
BANAS KANTHA,24.259527408086253,72.07917684555257
BANDA,25.486189119138757,80.55150651722488
BANDIPORA,34.432879546923076,74.6935752875
BANKA,24.49726743789954,85.30924072876712
BANKURA,23.119055236252546,87.1392121268839
BANSWARA,23.507422202661598,74.32729907338403
BAPATLA,15.931277733930347,80.25020799820895
BARABANKI,26.91974453780822,81.33372348438355
BARAMULLA,34.192389335348835,74.35120797403101
BARAN,25.011694585786802,76.61654513654823
BAREILLY,28.54830259375,79.48359686805556
BARGARH,21.30084481190476,83.44219168055557
BARMER,25.670517482103612,71.6604174032967
BARNALA,29.89682726428572,75.99124922714286
BARPETA,26.327611050617286,90.9596279617284
BARWANI,21.859614984172186,75.09227089331125
BASTAR,19.05582840425532,81.77604446382979
BASTI,26.84145857761733,82.60961502960288
BATHINDA,30.095964311695305,75.09367449139846
BEED,18.942989870087978,75.83204693636364
BEGUSARAI,25.42920941068376,86.12516604017094
BELAGAVI,16.123540877342656,74.7650143558042
BEMETARA,21.66462545625,81.525584678375
BENGALURU RURAL,13.206483981679389,77.56475079923663
BENGALURU URBAN,12.936123314400001,77.5809618464
BETUL,22.200830408405317,78.05469532026578
BHADOHI,25.349946319417473,82.45986385145632
BHADRADRI KOTHAGUDEM,17.640232556756757,80.70593068708708
BHADRAK,20.985358618688526,86.58942536655736
BHAGALPUR,25.022642111061945,86.14433319469026
BHANDARA,21.171406542028986,79.66537815072464
BHARATPUR,27.179300087749997,77.4707317105
BHARUCH,21.766199104994723,72.98606513466676
BHAVNAGAR,21.544129019148937,71.8889934455927
BHILWARA,25.475415851979164,74.68957551846354
BHIND,26.440358377606177,78.7455944934363
BHIWANI,28.753639067114094,75.930011
BHOJPUR,25.47168424719472,84.5405675689769
BHOPAL,23.394351744714285,77.3895317085
BIDAR,17.86113409475,77.632651364
BIJAPUR,19.080599175438596,80.90929828070175
BIJNOR,25.48773996107143,78.4146056725
BIKANER,28.09863934691358,73.38999062962962
BILASPUR,26.720190916185565,79.43506804731959
BIRBHUM,23.94775448639309,87.67845046825053
BISHNUPUR,24.53569166111111,93.76392155277777
BISWANATH,26.760855142268042,93.10949806907216
BOKARO,23.737532566120215,85.94491271857923
BONGAIGAON,26.29051031666667,90.81012905277777
BOTAD,22.107763066336634,71.68658630693069
BOUDH,20.76881799361702,84.26110756382978
BUDAUN,28.088445553968256,79.08901330873016
BUDGAM,34.05487410769231,74.70756359615385
BULANDSHAHR,28.35937592893891,78.0032574051447
BULDHANA,20.480783333460142,76.389794576683
BUNDI,25.81022674457143,75.61012916514287
BURHANPUR,21.454469497746476,76.32599218042255
BUXAR,25.498839183783783,84.12353129729729
CACHAR,24.78199596819788,92.7026736819788
CENTRAL,28.456273706250002,77.204391628125
CHAMARAJANAGARA,12.012728314583333,77.0765500175
CHAMBA,32.502487033928574,76.24598094196428
CHAMOLI,30.287413797188755,79.39808837269076
CHAMPAWAT,29.378739508333336,80.09169590714285
CHAMPHAI,23.410021697222223,93.31054219722222
CHANDAULI,25.552477353694577,83.17512423448275
CHANDEL,24.25555511111111,94.00331518055556
CHANDIGARH,30.627202199245282,77.05978472981131
CHANDRAPUR,20.10095074789279,79.31314373072088
CHANGLANG,27.248575748484846,96.00458601212121
CHARAIDEO,25.828980245833336,93.57056102777779
CHARKI DADRI,28.57717415584416,76.17909025974026
CHATRA,24.176712930158732,85.0229021878307
CHENGALPATTU,12.62779204384058,80.00737544619565
CHENNAI,13.044879892894738,80.17656455552633
CHHATARPUR,24.814929381153846,79.63813546384615
CHHINDWARA,22.384435431829573,78.87431623654135
CHHOTAUDEPUR,17.595092613809527,74.80019406142857
CHIKKABALLAPURA,13.54001655786802,77.81535598071066
CHIKKAMAGALURU,13.44241487973422,75.69804921129568
CHIRANG,26.59296067419355,91.17727407903224
CHITRADURGA,14.15041897388535,76.58442539681529
CHITRAKOOT,25.290603713043478,81.0868847173913
CHITTOOR,13.52308955615942,78.86126323094203
CHITTORGARH,24.756292206405693,74.63133064234876
CHURACHANDPUR,24.376363387179488,93.60117381102565
CHURU,28.466727547058824,74.89004323882352
COIMBATORE,11.016939608695651,77.0039075841615
COOCHBEHAR,26.193988164686466,89.04497700990099
CUDDALORE,11.542967238771187,79.53492857966101
CUTTACK,20.46814402893401,85.78945687614213
DADRA AND NAGAR HAVELI,20.195553147058824,73.04152382352942
DAKSHINA KANNADA,12.870742132618027,75.12199814077253
DAMAN,20.419658692307692,72.85669753846153
DAMOH,23.77792503446602,79.5153312276699
DANG,20.8021590875,73.72656959285713
DANTEWADA,18.90254327272727,81.36595100757575
DARBHANGA,24.46023428739726,85.96295546273973
DARJEELING,26.812483769411767,88.23941365352941
DARRANG,26.502820033783784,91.86088807567567
DATIA,25.817017198550726,78.5250968231884
DAUSA,26.392225312437812,76.70996796218905
DAVANGERE,14.375536619841268,76.04239191626984
DEHRADUN,30.405299104858297,77.96048390647773
DEOGARH,21.434501162337664,84.8077744
DEOGHAR,24.35871419516129,86.73690610725806
DEORIA,26.485949086006826,83.68234259044368
DEVBHUMI DWARKA,22.123929813768118,69.52843280072463
DEWAS,23.10013761522843,76.89371576304569
DHALAI,23.8872426208,91.94552510839999
DHAMTARI,21.193160981666665,81.46073780325759
